Site;Vegetation Class (Age/Fire);Drought Treatment;Plot #;GPS Location;Species;Plant Individual Number;TOMST_Logger_Number;Distance To Focal Individual (cm);Was there a neighbour plant?;Neighbour species;Deployment Date;Retrieval Date;Notes;;;;;;;;;;;
Lygra;Young;0;1,1;;Calluna vulgaris;5;95221037;;;;4/19/2023;6/1/2023;;;;;;;;;;;;
Lygra;Young;0;1,1;;Vaccium vitis idea;4;95221039;;;;4/19/2023;6/1/2023;;;;;;;;;;;;
Lygra;Young;0;1,1;;Vaccium myrtillus;4;95221021;;;;4/19/2023;6/1/2023;;;;;;;;;;;;
Lygra;Young;0;1,1;;Empetrum Negrum;4;95221031;;;;4/19/2023;6/1/2023;;;;;;;;;;;;
Lygra;Young;90;1,2;;Calluna vulgaris;2;95221017;;;;4/19/2023;6/1/2023;;;;;;;;;;;;
Lygra;Young;90;1,2;;Vaccium vitis idea;1;95221013;;;;4/19/2023;6/1/2023;;;;;;;;;;;;
Lygra;Young;90;1,2;;Empetrum Negrum;5;95221016;;;;4/19/2023;6/1/2023;;;;;;;;;;;;
Lygra;Young;50;1,3;;Calluna vulgaris;5;95221034;;;;4/19/2023;6/1/2023;;;;;;;;;;;;
Lygra;Young;50;1,3;;Vaccium vitis idea;5;95221033;;;;4/19/2023;6/1/2023;;;;;;;;;;;;
Lygra;Young;50;1,3;;Vaccium myrtillus;2;95221012;;;;4/19/2023;6/1/2023;;;;;;;;;;;;
Lygra;Young;50;1,3;;Empetrum Negrum;5;95221015;;;;4/19/2023;6/1/2023;;;;;;;;;;;;
Lygra;Young;90;2,1;;Calluna vulgaris;1;95221002;;;;4/19/2023;6/1/2023;;;;;;;;;;;;
Lygra;Young;90;2,1;;Vaccium vitis idea;1;95221035;;;;4/19/2023;6/1/2023;;;;;;;;;;;;
Lygra;Young;90;2,1;;Vaccium myrtillus;4;95221007;;;;4/19/2023;6/1/2023;;;;;;;;;;;;
Lygra;Young;90;2,1;;Empetrum Negrum;1;95221046;;;;4/19/2023;6/1/2023;;;;;;;;;;;;
Lygra;Young;0;2,2;;Calluna vulgaris;4;94195234;;;;4/19/2023;6/1/2023;;;;;;;;;;;;
